strike,call_price,put_price,spot,expiration,ticker
50.0,628.51,0.11,693.9500122070312,2028-01-21,SPY
60.0,627.36,0.21,693.9500122070312,2028-01-21,SPY
100.0,593.2,0.28,693.9500122070312,2028-01-21,SPY
105.0,566.79,0.49,693.9500122070312,2028-01-21,SPY
110.0,563.32,0.38,693.9500122070312,2028-01-21,SPY
115.0,558.49,0.44,693.9500122070312,2028-01-21,SPY
130.0,545.83,0.55,693.9500122070312,2028-01-21,SPY
135.0,525.91,1.04,693.9500122070312,2028-01-21,SPY
140.0,526.84,0.64,693.9500122070312,2028-01-21,SPY
150.0,526.94,0.76,693.9500122070312,2028-01-21,SPY
195.0,500.5,1.34,693.9500122070312,2028-01-21,SPY
200.0,480.0,1.47,693.9500122070312,2028-01-21,SPY
220.0,477.0,1.99,693.9500122070312,2028-01-21,SPY
240.0,445.03,2.26,693.9500122070312,2028-01-21,SPY
245.0,449.09,2.36,693.9500122070312,2028-01-21,SPY
250.0,448.73,2.45,693.9500122070312,2028-01-21,SPY
255.0,417.83,2.6,693.9500122070312,2028-01-21,SPY
260.0,433.67,2.87,693.9500122070312,2028-01-21,SPY
280.0,405.0,3.24,693.9500122070312,2028-01-21,SPY
295.0,407.72,4.84,693.9500122070312,2028-01-21,SPY
300.0,404.0,3.92,693.9500122070312,2028-01-21,SPY
320.0,381.47,4.62,693.9500122070312,2028-01-21,SPY
330.0,358.77,5.16,693.9500122070312,2028-01-21,SPY
335.0,360.27,5.04,693.9500122070312,2028-01-21,SPY
340.0,369.87,5.6,693.9500122070312,2028-01-21,SPY
350.0,351.11,5.81,693.9500122070312,2028-01-21,SPY
355.0,343.59,6.3,693.9500122070312,2028-01-21,SPY
360.0,348.8,6.5,693.9500122070312,2028-01-21,SPY
365.0,347.32,6.16,693.9500122070312,2028-01-21,SPY
370.0,344.99,6.66,693.9500122070312,2028-01-21,SPY
375.0,341.32,7.02,693.9500122070312,2028-01-21,SPY
380.0,326.03,7.21,693.9500122070312,2028-01-21,SPY
385.0,306.93,9.0,693.9500122070312,2028-01-21,SPY
390.0,317.42,8.74,693.9500122070312,2028-01-21,SPY
395.0,312.52,8.15,693.9500122070312,2028-01-21,SPY
400.0,312.0,8.08,693.9500122070312,2028-01-21,SPY
405.0,304.62,8.39,693.9500122070312,2028-01-21,SPY
410.0,302.35,8.95,693.9500122070312,2028-01-21,SPY
420.0,302.0,9.58,693.9500122070312,2028-01-21,SPY
425.0,296.99,9.67,693.9500122070312,2028-01-21,SPY
430.0,288.0,10.44,693.9500122070312,2028-01-21,SPY
435.0,282.59,10.58,693.9500122070312,2028-01-21,SPY
440.0,285.3,10.71,693.9500122070312,2028-01-21,SPY
445.0,274.6,11.29,693.9500122070312,2028-01-21,SPY
450.0,274.57,11.63,693.9500122070312,2028-01-21,SPY
455.0,260.1,12.08,693.9500122070312,2028-01-21,SPY
460.0,270.0,12.37,693.9500122070312,2028-01-21,SPY
465.0,258.85,14.17,693.9500122070312,2028-01-21,SPY
470.0,255.93,13.26,693.9500122070312,2028-01-21,SPY
475.0,251.68,14.14,693.9500122070312,2028-01-21,SPY
480.0,251.18,14.53,693.9500122070312,2028-01-21,SPY
485.0,244.79,14.85,693.9500122070312,2028-01-21,SPY
490.0,228.85,15.96,693.9500122070312,2028-01-21,SPY
495.0,229.32,16.18,693.9500122070312,2028-01-21,SPY
500.0,222.51,16.5,693.9500122070312,2028-01-21,SPY
505.0,223.55,17.22,693.9500122070312,2028-01-21,SPY
510.0,226.45,17.55,693.9500122070312,2028-01-21,SPY
515.0,210.0,19.14,693.9500122070312,2028-01-21,SPY
520.0,215.31,20.66,693.9500122070312,2028-01-21,SPY
525.0,207.0,19.59,693.9500122070312,2028-01-21,SPY
530.0,212.0,22.6,693.9500122070312,2028-01-21,SPY
535.0,206.5,22.18,693.9500122070312,2028-01-21,SPY
540.0,202.38,22.45,693.9500122070312,2028-01-21,SPY
545.0,195.5,23.83,693.9500122070312,2028-01-21,SPY
550.0,194.2,23.56,693.9500122070312,2028-01-21,SPY
555.0,192.2,25.22,693.9500122070312,2028-01-21,SPY
560.0,183.18,25.83,693.9500122070312,2028-01-21,SPY
565.0,182.94,26.4,693.9500122070312,2028-01-21,SPY
570.0,181.0,27.5,693.9500122070312,2028-01-21,SPY
575.0,172.14,28.67,693.9500122070312,2028-01-21,SPY
580.0,158.74,28.4,693.9500122070312,2028-01-21,SPY
585.0,168.16,29.53,693.9500122070312,2028-01-21,SPY
590.0,164.14,30.51,693.9500122070312,2028-01-21,SPY
595.0,153.11,32.6,693.9500122070312,2028-01-21,SPY
600.0,156.41,32.59,693.9500122070312,2028-01-21,SPY
605.0,141.2,33.43,693.9500122070312,2028-01-21,SPY
610.0,149.0,35.83,693.9500122070312,2028-01-21,SPY
615.0,137.2,35.53,693.9500122070312,2028-01-21,SPY
620.0,143.65,36.85,693.9500122070312,2028-01-21,SPY
625.0,140.53,37.86,693.9500122070312,2028-01-21,SPY
630.0,135.6,39.36,693.9500122070312,2028-01-21,SPY
635.0,128.48,40.26,693.9500122070312,2028-01-21,SPY
640.0,123.11,41.56,693.9500122070312,2028-01-21,SPY
645.0,123.23,42.85,693.9500122070312,2028-01-21,SPY
650.0,116.63,44.54,693.9500122070312,2028-01-21,SPY
655.0,106.0,45.58,693.9500122070312,2028-01-21,SPY
660.0,114.45,47.28,693.9500122070312,2028-01-21,SPY
665.0,110.39,48.35,693.9500122070312,2028-01-21,SPY
670.0,107.0,49.8,693.9500122070312,2028-01-21,SPY
675.0,103.5,51.39,693.9500122070312,2028-01-21,SPY
680.0,101.11,53.23,693.9500122070312,2028-01-21,SPY
685.0,94.35,54.48,693.9500122070312,2028-01-21,SPY
690.0,95.15,56.55,693.9500122070312,2028-01-21,SPY
695.0,91.25,58.32,693.9500122070312,2028-01-21,SPY
700.0,88.91,59.87,693.9500122070312,2028-01-21,SPY
705.0,83.41,61.69,693.9500122070312,2028-01-21,SPY
710.0,82.7,63.33,693.9500122070312,2028-01-21,SPY
715.0,79.64,67.48,693.9500122070312,2028-01-21,SPY
720.0,66.5,69.54,693.9500122070312,2028-01-21,SPY
725.0,73.93,69.34,693.9500122070312,2028-01-21,SPY
730.0,65.5,71.8,693.9500122070312,2028-01-21,SPY
735.0,62.1,76.6,693.9500122070312,2028-01-21,SPY
740.0,59.61,75.9,693.9500122070312,2028-01-21,SPY
745.0,62.78,78.69,693.9500122070312,2028-01-21,SPY
750.0,60.11,80.79,693.9500122070312,2028-01-21,SPY
755.0,57.33,88.48,693.9500122070312,2028-01-21,SPY
760.0,54.1,86.1,693.9500122070312,2028-01-21,SPY
765.0,51.1,94.15,693.9500122070312,2028-01-21,SPY
770.0,45.42,93.7,693.9500122070312,2028-01-21,SPY
775.0,47.82,93.93,693.9500122070312,2028-01-21,SPY
780.0,42.1,97.97,693.9500122070312,2028-01-21,SPY
785.0,41.5,100.37,693.9500122070312,2028-01-21,SPY
790.0,38.46,103.7,693.9500122070312,2028-01-21,SPY
795.0,36.55,112.17,693.9500122070312,2028-01-21,SPY
800.0,37.0,110.7,693.9500122070312,2028-01-21,SPY
805.0,35.08,142.86,693.9500122070312,2028-01-21,SPY
810.0,31.13,122.26,693.9500122070312,2028-01-21,SPY
815.0,29.12,156.4,693.9500122070312,2028-01-21,SPY
820.0,28.39,139.41,693.9500122070312,2028-01-21,SPY
825.0,27.95,148.65,693.9500122070312,2028-01-21,SPY
830.0,26.1,167.54,693.9500122070312,2028-01-21,SPY
835.0,24.57,172.75,693.9500122070312,2028-01-21,SPY
840.0,23.3,172.77,693.9500122070312,2028-01-21,SPY
845.0,21.91,176.98,693.9500122070312,2028-01-21,SPY
850.0,20.61,168.04,693.9500122070312,2028-01-21,SPY
880.0,13.11,189.73,693.9500122070312,2028-01-21,SPY
890.0,12.19,220.98,693.9500122070312,2028-01-21,SPY
900.0,10.6,209.28,693.9500122070312,2028-01-21,SPY
915.0,8.15,223.39,693.9500122070312,2028-01-21,SPY
1000.0,2.88,330.88,693.9500122070312,2028-01-21,SPY
1005.0,2.2,323.5,693.9500122070312,2028-01-21,SPY
1100.0,0.91,437.53,693.9500122070312,2028-01-21,SPY
1340.0,0.18,652.0,693.9500122070312,2028-01-21,SPY
